Item,Descricao,Tamanho,Cor,Quantidade,Valor Uniario,Valor Total,Prazo de Entrega
"1,""Calca de Brim Branca, elastico total e corda, com 2 bolsos traseiros, dois bolsos frontais e silk no bolso traseiro esquerdo."",42,Santista Gabardine Branco 002,03,""R$ 55,00"",""R$ 165,00"",20 dias uteis"
"2,""Calca de Brim Branca, elastico total e corda, com 2 bolsos traseiros, dois bolsos frontais e silk no bolso traseiro esquerdo."",46,Santista Gabardine Branco 002,01,""R$ 55,00"",""R$ 55,00"",20 dias uteis"
"3,""Calca de Brim Branca, elastico total e corda, com 2 bolsos traseiros, dois bolsos frontais e silk no bolso traseiro esquerdo."",48,Santista Gabardine Branco 002,02,""R$ 55,00"",""R$ 110,00"",20 dias uteis"
"4,""Camisa de malha PV branca, gola redonda, com silk na barra e no peito lado esquerdo"",M,Stamp lite Branco,04,""R$ 24,00"",""R$ 96,00"",20 dias uteis"
"5,""Camisa de malha PV branca, gola redonda, com silk na barra e no peito lado esquerdo"",G,Stamp lite Branco,02,""R$ 24,00"",""R$ 48,00"",20 dias uteis"
"6,""Camisa FEMININA estilo polo de malha PV branca, gola cinza, com silk na barra e no peito lado esquerdo"",XG,Stamp lite Branco,02,""R$ 47,00"",""R$ 94,00"",20 dias uteis"
"TOTAL, 14 pecas,""R$ 568,00"""
